design_id,wall_material,wall_structural_thickness_m,wall_insulation_thickness_m,roof_insulation_thickness_m,floor_insulation_thickness_m,length_m,width_m,height_m,orientation_deg,window_area_m2,window_wall_orientation,door_area_m2,door_wall_orientation,window_solar_heat_gain_coefficient,window_u_value_w_m2k,door_u_value_w_m2k,has_thermal_mass,thermal_mass_material,thermal_mass_kg,thermal_mass_specific_heat_j_kgk,thermal_mass_heat_capacity_j_k,occupant_count,sensible_heat_per_person_w,equipment_heat_w,lighting_heat_w,floor_area_m2,volume_m3,net_wall_area_m2,weather_scenario_id,weather_name,weather_season,weather_date,weather_effective_date,latitude,longitude,weather_source,weather_data_category,weather_provenance,weather_retrieval_status,weather_record_count,skipped_missing_required_records,mean_outdoor_temperature_c,minimum_outdoor_temperature_c,maximum_outdoor_temperature_c,daily_solar_sum_wh_m2,mean_wind_speed_m_s,mean_relative_humidity_percent,percent_time_comfortable,percent_time_below_comfort,percent_time_above_comfort,minimum_indoor_temperature_c,maximum_indoor_temperature_c,mean_indoor_temperature_c,indoor_temperature_range_c,degree_hours_below_comfort,degree_hours_above_comfort,total_heat_loss_kwh,total_solar_gain_kwh,thermal_mass_absorbed_kwh,thermal_mass_released_kwh,thermal_mass_net_kwh
D0010,brick_masonry,0.35,0.0,0.1641,0.1514,4.663,4.0,3.0,180.0,1.153,south,2.0,north,0.521,5.0,2.0,1,stone,2883.0,900.0,2594700.0,2,75.0,50.0,20.0,18.652,55.956,48.825,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-9.270779963475023,6.967960257379357,-2.2766756261084393,16.238740220854382,486.64021502660245,0.0,21.483963812003363,1.95511056545,0.3468966121775811,14.236311270852203,-13.889414658674623
D0011,brick_masonry,0.35,0.0,0.1718,0.1224,5.674,4.0,3.0,270.0,1.574,north,2.0,west,0.456,5.0,2.0,1,water,1759.8,4186.0,7366522.8,2,75.0,50.0,20.0,22.696,68.08800000000001,54.470000000000006,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-3.4919825957844193,8.74376730513391,2.3595238147907343,12.235749900918329,375.3714284450224,0.0,35.5302743824409,2.3360055096000005,0.0,27.608054835846975,-27.608054835846975
D0012,brick_masonry,0.35,0.0,0.1735,0.1816,5.919,4.0,3.0,90.0,1.299,south,2.0,west,0.628,5.0,2.0,1,water,1177.8,4186.0,4930270.8,2,75.0,50.0,20.0,23.676,71.02799999999999,56.214999999999996,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-6.352354912543725,8.14070005485983,0.3429398375512851,14.493054967403555,423.7694438987691,0.0,30.717082343751287,2.6550523397999997,0.0,22.39487164904191,-22.39487164904191
D0013,brick_masonry,0.35,0.0,0.1782,0.0,5.418,4.0,3.0,90.0,3.998,south,2.0,north,0.464,5.0,2.0,1,water,2183.8,4186.0,9141386.8,2,75.0,50.0,20.0,21.672,65.016,50.510000000000005,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-6.924467804190116,8.09528802336891,0.08359361113995466,15.019755827559027,429.99375333264106,0.0,54.660260090565885,6.037610084800001,0.0,42.975862939513476,-42.975862939513476
D0014,brick_masonry,0.35,0.0,0.1869,0.1205,5.467,4.0,3.0,180.0,1.827,west,2.0,east,0.697,5.0,2.0,0,none,0.0,0.0,0.0,2,75.0,50.0,20.0,21.868,65.604,52.975,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-15.74211910643248,4.260947692613382,-7.516360089666396,20.00306679904586,612.3926421519936,0.0,9.433195589928774,4.14453314835,0.0,0.0,0.0
D0015,brick_masonry,0.35,0.0502,0.1234,0.1147,5.561,4.0,3.0,90.0,1.411,west,2.0,north,0.497,5.0,2.0,1,stone,780.2,900.0,702180.0,2,75.0,50.0,20.0,22.244,66.732,53.955,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-9.561848640880848,4.893368304686819,-2.1098940135421826,14.455216945567667,482.6374563250123,0.0,11.813050980121563,2.28237864155,1.280524193484681,5.096062770888491,-3.8155385774038098
D0016,brick_masonry,0.35,0.0532,0.0766,0.0913,4.13,4.0,3.0,270.0,0.692,west,2.0,south,0.409,5.0,2.0,1,stone,1069.7,900.0,962730.0,2,75.0,50.0,20.0,16.52,49.56,46.088,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-7.202865171253249,6.844020213128749,-0.8233992551202426,14.046885384381998,451.7615821228859,0.0,11.085824631251503,0.9211570801999998,0.49921359509175467,5.099689813514154,-4.6004762184224
D0017,brick_masonry,0.35,0.0601,0.0888,0.0678,5.874,4.0,3.0,90.0,1.151,west,2.0,east,0.635,5.0,2.0,1,stone,1994.6,900.0,1795140.0,2,75.0,50.0,20.0,23.496,70.488,56.093,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-6.1142561830698625,7.692721821037054,0.7511623622087988,13.806978004106917,413.97210330698886,0.0,16.0727692742152,2.37877486525,0.6410218919559513,8.676395737643738,-8.035373845687786
D0018,brick_masonry,0.35,0.0676,0.0,0.0734,5.07,4.0,3.0,0.0,2.486,west,2.0,south,0.578,5.0,2.0,1,stone,2839.7,900.0,2555730.0,2,75.0,50.0,20.0,20.28,60.84,49.934,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-11.211898161482443,5.726520743797439,-3.615230555760908,16.93841890527988,518.7655333382618,0.0,25.445666719205285,4.6766326222,1.9523237553206492,17.01118055761107,-15.058856802290421
D0019,brick_masonry,0.35,0.0693,0.1916,0.1852,4.197,4.0,3.0,180.0,3.025,north,2.0,south,0.737,5.0,2.0,1,stone,982.5,900.0,884250.0,2,75.0,50.0,20.0,16.788,50.364000000000004,44.157000000000004,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-6.297625232265434,15.749104381007736,4.735948787096212,22.046729613273172,318.33722910969095,0.0,16.81270680632447,7.25599807625,3.476177155128532,7.47928135280373,-4.0031041976751975
D0020,brick_masonry,0.35,0.0721,0.0962,0.0,5.1,4.0,3.0,270.0,0.745,south,2.0,east,0.713,5.0,2.0,1,water,1394.2,4186.0,5836121.2,2,75.0,50.0,20.0,20.4,61.199999999999996,51.855,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-6.144263871748731,8.269206578998462,0.3708619838239855,14.413470450747193,423.09931238822435,0.0,33.510353309985575,1.72882126025,0.0,26.172189066751905,-26.172189066751905
D0021,brick_masonry,0.35,0.0725,0.0578,0.183,5.33,4.0,3.0,180.0,2.898,west,2.0,east,0.567,5.0,2.0,1,water,1722.2,4186.0,7209129.2,2,75.0,50.0,20.0,21.32,63.96,51.082,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,3.6238060641354966,9.40725246339101,7.1603031242134465,5.783446399255514,260.1527250188773,0.0,23.532427867697,5.3479302219,1.3915284084032125,14.160085599487578,-12.768557191084366
D0022,brick_masonry,0.35,0.0756,0.1248,0.1956,4.761,4.0,3.0,180.0,1.891,west,2.0,south,0.451,5.0,2.0,1,stone,2871.6,900.0,2584440.0,2,75.0,50.0,20.0,19.044,57.132000000000005,48.675000000000004,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-0.2808252668129285,8.862530489621632,4.951461739597744,9.14335575643456,313.1649182496542,0.0,15.632091456076186,2.77569896065,0.7668824245564817,8.147486883601482,-7.380604459045001
D0023,brick_masonry,0.35,0.0939,0.0992,0.063,4.089,4.0,3.0,90.0,3.992,south,2.0,west,0.753,5.0,2.0,1,water,1476.1,4186.0,6178954.6,2,75.0,50.0,20.0,16.356,49.068000000000005,42.542,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,4.797510956661585,10.972293778142376,8.527408882638616,6.174782821480791,227.3421868166732,0.0,24.077920478577706,9.7833997884,4.901256894645917,13.830685674030777,-8.92942877938486
D0024,brick_masonry,0.35,0.0981,0.0583,0.0897,5.221,4.0,3.0,90.0,3.609,north,2.0,north,0.44,5.0,2.0,1,water,836.7,4186.0,3502426.2,2,75.0,50.0,20.0,20.884,62.652,49.717,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-1.2485798820350538,8.725907645068624,4.6622589775781,9.974487527103678,320.1057845381256,0.0,21.626869603932107,5.168254014,1.5236311518818084,12.467331399557498,-10.94370024767569
D0025,brick_masonry,0.35,0.1001,0.119,0.0,5.059,4.0,3.0,90.0,2.514,south,2.0,west,0.738,5.0,2.0,1,water,1246.9,4186.0,5219523.4,2,75.0,50.0,20.0,20.236,60.708,49.84,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-6.341661291837042,8.028839430643975,0.8033853867611657,14.370500722481017,412.718750717732,0.0,35.3423915704843,6.0384562937999995,0.7188622890471215,24.412107707829808,-23.693245418782688
D0026,brick_masonry,0.35,0.1024,0.0712,0.1854,5.844,4.0,3.0,270.0,1.663,west,2.0,north,0.485,5.0,2.0,1,stone,1003.8,900.0,903420.0,2,75.0,50.0,20.0,23.376,70.128,55.400999999999996,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-7.2021747907541585,6.6234533508288225,0.40186654142880834,13.825628141582982,422.35520300570863,0.0,12.624058032398425,2.62505423075,1.2052524355822816,5.522138199322037,-4.316885763739755
D0027,brick_masonry,0.35,0.1041,0.0809,0.0,4.994,4.0,3.0,270.0,1.289,north,2.0,north,0.735,5.0,2.0,0,none,0.0,0.0,0.0,2,75.0,50.0,20.0,19.976,59.928,50.675,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-15.890142335293833,1.9804433525189413,-8.1839410520249,17.870585687812774,628.4145852485974,0.0,8.366203516278397,3.08350422975,0.0,0.0,0.0
D0028,brick_masonry,0.35,0.105,0.1105,0.158,5.018,4.0,3.0,90.0,3.675,east,2.0,east,0.659,5.0,2.0,1,water,2150.0,4186.0,8999900.0,2,75.0,50.0,20.0,20.072,60.215999999999994,48.43299999999999,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,6.376356457678107,10.25856697174877,8.828030306515343,3.882210514070663,220.1272726436318,0.0,22.29393470847115,7.88219273625,3.706601935697347,12.765610134737013,-9.059008199039667
D0029,brick_masonry,0.35,0.1054,0.1645,0.1247,5.286,4.0,3.0,90.0,3.535,south,2.0,west,0.645,5.0,2.0,0,none,0.0,0.0,0.0,2,75.0,50.0,20.0,21.144,63.431999999999995,50.181,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,4.166666666666657,83.33333333333334,12.5,-12.893847841546595,28.979269064519414,0.42453458649324344,41.87311690606601,450.21701046973175,7.098417204953112,12.812324752491294,7.42084609875,0.0,0.0,0.0
D0030,brick_masonry,0.35,0.1057,0.0,0.0,4.82,4.0,3.0,90.0,2.178,south,2.0,west,0.657,5.0,2.0,0,none,0.0,0.0,0.0,2,75.0,50.0,20.0,19.28,57.84,48.742000000000004,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-16.660004929307533,0.9219018888091335,-9.0337671069385,17.581906818116668,648.810410566524,0.0,9.937258038000248,4.6572283989,0.0,0.0,0.0
D0031,brick_masonry,0.35,0.1058,0.0,0.068,4.73,4.0,3.0,180.0,3.984,west,2.0,east,0.524,5.0,2.0,1,water,2567.9,4186.0,10749229.4,2,75.0,50.0,20.0,18.92,56.760000000000005,46.396,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-1.1308847462397709,9.001538688641896,4.195429657117633,10.132423434881666,331.3096882291768,0.0,45.52073174332444,6.7944594144,0.0990918015352331,33.33476779106082,-33.23567598952559
D0032,brick_masonry,0.35,0.1067,0.0863,0.189,4.516,4.0,3.0,0.0,2.925,south,2.0,west,0.46,5.0,2.0,1,stone,2335.4,900.0,2101860.0,2,75.0,50.0,20.0,18.064,54.192,46.171,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-1.3523034213351013,8.608453066224742,4.9751046788271305,9.960756487559843,312.59748770814883,0.0,16.492241936549494,4.379131575,1.797080496967517,8.425122849514016,-6.628042352546499
D0033,brick_masonry,0.35,0.1164,0.0,0.184,4.022,4.0,3.0,180.0,3.664,north,2.0,east,0.46,5.0,2.0,1,stone,2016.4,900.0,1814760.0,2,75.0,50.0,20.0,16.088,48.264,42.468,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-11.124572127569959,5.288103088188937,-3.0139831405218573,16.412675215758895,504.33559537252455,0.0,21.754266221896362,5.485517296,2.5374458090555705,13.186342618563586,-10.648896809508015
